created_at,updated_at,curriculum_id,department_id,academic_year_id,semester_id,course_id,is_elective,is_active
2026-07-30T14:48:25.545076,2026-07-30T14:48:25.545081,CUR000001,DEP000001,AY000001,SEM000001,CRS000001,False,True
2026-07-30T14:48:25.545095,2026-07-30T14:48:25.545097,CUR000002,DEP000001,AY000001,SEM000001,CRS000002,False,True
2026-07-30T14:48:25.545110,2026-07-30T14:48:25.545111,CUR000003,DEP000001,AY000001,SEM000001,CRS000003,False,True
2026-07-30T14:48:25.545119,2026-07-30T14:48:25.545121,CUR000004,DEP000001,AY000001,SEM000001,CRS000004,False,True
2026-07-30T14:48:25.545131,2026-07-30T14:48:25.545133,CUR000005,DEP000001,AY000001,SEM000002,CRS000005,False,True
2026-07-30T14:48:25.545140,2026-07-30T14:48:25.545142,CUR000006,DEP000001,AY000001,SEM000002,CRS000006,False,True
2026-07-30T14:48:25.545149,2026-07-30T14:48:25.545151,CUR000007,DEP000001,AY000001,SEM000002,CRS000007,False,True
2026-07-30T14:48:25.545159,2026-07-30T14:48:25.545160,CUR000008,DEP000001,AY000001,SEM000002,CRS000008,False,True
2026-07-30T14:48:25.545168,2026-07-30T14:48:25.545169,CUR000009,DEP000001,AY000002,SEM000003,CRS000009,False,True
2026-07-30T14:48:25.545177,2026-07-30T14:48:25.545178,CUR000010,DEP000001,AY000002,SEM000003,CRS000010,False,True
2026-07-30T14:48:25.545186,2026-07-30T14:48:25.545187,CUR000011,DEP000001,AY000002,SEM000003,CRS000011,False,True
2026-07-30T14:48:25.545195,2026-07-30T14:48:25.545196,CUR000012,DEP000001,AY000002,SEM000003,CRS000012,False,True
2026-07-30T14:48:25.545204,2026-07-30T14:48:25.545205,CUR000013,DEP000001,AY000002,SEM000004,CRS000013,False,True
2026-07-30T14:48:25.545213,2026-07-30T14:48:25.545214,CUR000014,DEP000001,AY000002,SEM000004,CRS000014,False,True
2026-07-30T14:48:25.545222,2026-07-30T14:48:25.545225,CUR000015,DEP000001,AY000002,SEM000004,CRS000015,False,True
2026-07-30T14:48:25.545233,2026-07-30T14:48:25.545234,CUR000016,DEP000001,AY000002,SEM000004,CRS000016,False,True
2026-07-30T14:48:25.545242,2026-07-30T14:48:25.545244,CUR000017,DEP000001,AY000003,SEM000005,CRS000017,False,True
2026-07-30T14:48:25.545251,2026-07-30T14:48:25.545253,CUR000018,DEP000001,AY000003,SEM000005,CRS000018,False,True
2026-07-30T14:48:25.545260,2026-07-30T14:48:25.545262,CUR000019,DEP000001,AY000003,SEM000005,CRS000019,False,True
2026-07-30T14:48:25.545269,2026-07-30T14:48:25.545270,CUR000020,DEP000001,AY000003,SEM000005,CRS000020,False,True
2026-07-30T14:48:25.545278,2026-07-30T14:48:25.545279,CUR000021,DEP000001,AY000003,SEM000006,CRS000021,False,True
2026-07-30T14:48:25.545287,2026-07-30T14:48:25.545288,CUR000022,DEP000001,AY000003,SEM000006,CRS000022,False,True
2026-07-30T14:48:25.545298,2026-07-30T14:48:25.545299,CUR000023,DEP000001,AY000003,SEM000006,CRS000023,False,True
2026-07-30T14:48:25.545307,2026-07-30T14:48:25.545309,CUR000024,DEP000001,AY000003,SEM000006,CRS000024,False,True
2026-07-30T14:48:25.545316,2026-07-30T14:48:25.545318,CUR000025,DEP000001,AY000004,SEM000007,CRS000025,False,True
2026-07-30T14:48:25.545326,2026-07-30T14:48:25.545327,CUR000026,DEP000001,AY000004,SEM000007,CRS000026,False,True
2026-07-30T14:48:25.545335,2026-07-30T14:48:25.545336,CUR000027,DEP000001,AY000004,SEM000007,CRS000027,False,True
2026-07-30T14:48:25.545346,2026-07-30T14:48:25.545348,CUR000028,DEP000001,AY000004,SEM000007,CRS000028,True,True
2026-07-30T14:48:25.545355,2026-07-30T14:48:25.545357,CUR000029,DEP000001,AY000004,SEM000008,CRS000029,False,True
2026-07-30T14:48:25.545364,2026-07-30T14:48:25.545366,CUR000030,DEP000001,AY000004,SEM000008,CRS000030,False,True
2026-07-30T14:48:25.545373,2026-07-30T14:48:25.545375,CUR000031,DEP000001,AY000004,SEM000008,CRS000031,True,True
